,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,0,0.9896,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 33.txt
1,1,0,0.994,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 27.txt
2,2,0,0.9977,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 26.txt
3,3,0,0.9664,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 32.txt
4,4,3,0.9979,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",investigacion 18.txt
5,5,3,0.9988,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",investigacion 24.txt
6,6,0,0.9443,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 30.txt
7,7,0,0.7705,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 31.txt
8,8,0,0.9083,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 25.txt
9,9,2,0.974,"model, based, system, approach, water, project, climate, used, investment, agricultural",investigacion 19.txt
10,10,0,0.9959,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 21.txt
11,11,0,0.9182,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 35.txt
12,12,0,0.9921,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 34.txt
13,13,3,0.9995,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",investigacion 20.txt
14,14,0,0.8219,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 36.txt
15,15,3,0.6579,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",Investigacion 22.txt
16,16,3,0.9929,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",Investigacion 23.txt
17,17,0,0.9876,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 37.txt
18,18,0,0.9889,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 50.txt
19,19,0,0.9722,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 44.txt
20,20,0,0.8621,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 45.txt
21,21,0,0.684,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 51.txt
22,22,0,0.9819,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 47.txt
23,23,0,0.9883,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 53.txt
24,24,0,0.5998,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 9.txt
25,25,1,0.9994,"farming, service, access, technology, mobile, food, country, africa, agricultural, population",Investigacion 8.txt
26,26,0,0.9886,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 52.txt
27,27,0,0.9834,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 46.txt
28,28,0,0.988,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 42.txt
29,29,0,0.7667,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 56.txt
30,30,0,0.9734,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 57.txt
31,31,3,0.5133,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",Investigacion 43.txt
32,32,0,0.9906,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 55.txt
33,33,0,0.9923,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 41.txt
34,34,3,0.7986,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",organizacional  12.txt
35,35,0,0.9829,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 40.txt
36,36,0,0.9826,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 54.txt
37,37,0,0.9846,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 59.txt
38,38,2,0.6778,"model, based, system, approach, water, project, climate, used, investment, agricultural",Investigacion 3.txt
39,39,2,0.7404,"model, based, system, approach, water, project, climate, used, investment, agricultural",Investigacion 2.txt
40,40,0,0.993,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 58.txt
41,41,3,0.9992,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",Investigacion 1.txt
42,42,3,0.5325,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",Investigacion 5.txt
43,43,2,0.9993,"model, based, system, approach, water, project, climate, used, investment, agricultural",Investigacion 4.txt
44,44,0,0.9836,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 60.txt
45,45,0,0.9921,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 48.txt
46,46,2,0.62,"model, based, system, approach, water, project, climate, used, investment, agricultural",Investigacion 6.txt
47,47,3,0.9964,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",Investigacion 7.txt
48,48,0,0.9287,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 49.txt
49,49,0,0.9738,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 61.txt
50,50,3,0.6469,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",investigacion 13.txt
51,51,0,0.9833,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 39.txt
52,52,2,0.8803,"model, based, system, approach, water, project, climate, used, investment, agricultural",investigacion 11.txt
53,53,3,0.8495,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",Investigacion 10.txt
54,54,0,0.9874,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 38.txt
55,55,3,0.9987,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",Investigacion 14.txt
56,56,0,0.9945,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",investigacion 28.txt
57,57,0,0.9927,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",Investigacion 29.txt
58,58,3,0.9974,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",Investigacion 15.txt
59,59,3,0.7506,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",Investigacion 17.txt
60,60,3,0.4965,"farmer, food, change, climate, disease, international, plant, variety, bean, technology",Investigacion 16.txt
61,61,0,0.7295,"product, plant, training, management, technology, soil, analysis, science, laboratory, facility",2021-10-20 Política CTI 2022 - 2031_VDiscusión pública.pdf
