,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 16.txt
1,1,3,0.9954,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",gluco.pdf
2,2,3,0.9952,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",Nueva carpeta
3,3,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 17.txt
4,4,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 15.txt
5,5,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 29.txt
6,6,3,0.9996,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",articulo 10.pdf
7,7,3,0.9996,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",articulo 11.pdf
8,8,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 28.txt
9,9,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 14.txt
10,10,3,0.9995,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",artiuculo 1.pdf
11,11,3,0.9995,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",articulo 4.pdf
12,12,3,0.989,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",redes 38.txt
13,13,3,0.9997,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",articulo 15.pdf
14,14,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 11.txt
15,15,3,0.989,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",redes 39.txt
16,16,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 13.txt
17,17,3,0.9997,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",articulo 16.pdf
18,18,3,0.9997,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",articulo 17.pdf
19,19,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 12.txt
20,20,3,0.9996,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",artiuculo 7.pdf
21,21,3,0.9994,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",segunda genera 2.pdf
22,22,3,0.9948,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",Investigacion 30.pdf
23,23,3,0.9948,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",Investigacion 31.pdf
24,24,3,0.9994,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",segunda genera 3.pdf
25,25,3,0.9948,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",Investigacion 33.pdf
26,26,3,0.9948,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",Investigacion 32.pdf
27,27,3,0.9994,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",segunda genera 4.pdf
28,28,3,0.9994,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",segunda genera 5.pdf
29,29,3,0.9994,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",segunda genera 7.pdf
30,30,3,0.9994,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",segunda genera.pdf
31,31,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 9.txt
32,32,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 8.txt
33,33,3,0.9994,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",segunda genera 6.pdf
34,34,3,0.989,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",redes 40.txt
35,35,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 5.txt
36,36,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 4.txt
37,37,3,0.989,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",redes 41.txt
38,38,3,0.9954,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",gluco 6.pdf
39,39,3,0.9994,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",segunda genera 8.pdf
40,40,3,0.9954,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",gluco 4.pdf
41,41,3,0.989,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",redes 43.txt
42,42,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 6.txt
43,43,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 7.txt
44,44,3,0.989,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",redes 42.txt
45,45,3,0.9954,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",gluco 5.pdf
46,46,3,0.9715,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",segunda genera 9.pdf
47,47,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 3.txt
48,48,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 2.txt
49,49,3,0.9954,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",gluco 2.pdf
50,50,3,0.989,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",redes 45.txt
51,51,3,0.9996,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",Tesis 2.pdf
52,52,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 1.txt
53,53,3,0.9996,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",Tesis 3.pdf
54,54,3,0.989,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",redes 44.txt
