,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,0,0.9574,"nitrogen, fertilization, use, factory, fuel, fossil, consumption, energy, reduction, stage",Organizacional.txt
1,1,2,0.9979,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",Investigacion 18.txt
2,2,2,0.9979,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",Investigacion 19.txt
3,3,2,0.982,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",Biocontrol-of-sugarcane-borers.pdf
4,4,2,0.9979,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",Investigacion 20.txt
5,5,2,0.9998,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",Cooperacion 2.txt
6,6,2,0.997,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",cooperacion 3.txt
7,7,1,0.9998,"nitrogen, use, fertilization, fuel, variety, advance, energy, factory, guarantee, implementation",Organizacinal 5.txt
8,8,2,0.9291,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",documento.pdf
9,9,1,0.9998,"nitrogen, use, fertilization, fuel, variety, advance, energy, factory, guarantee, implementation",Organizacinal 4.txt
10,10,1,0.9999,"nitrogen, use, fertilization, fuel, variety, advance, energy, factory, guarantee, implementation",Organizacinal 6.txt
11,11,2,0.993,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",Relacion 1.txt
12,12,1,0.9999,"nitrogen, use, fertilization, fuel, variety, advance, energy, factory, guarantee, implementation",Organizacinal 7.txt
13,13,1,0.9999,"nitrogen, use, fertilization, fuel, variety, advance, energy, factory, guarantee, implementation",Organizacinal 3.txt
14,14,1,0.9999,"nitrogen, use, fertilization, fuel, variety, advance, energy, factory, guarantee, implementation",Organizacinal 12.txt
15,15,1,0.9999,"nitrogen, use, fertilization, fuel, variety, advance, energy, factory, guarantee, implementation",Organizacinal 13.txt
16,16,1,0.9998,"nitrogen, use, fertilization, fuel, variety, advance, energy, factory, guarantee, implementation",Organizacinal 11.txt
17,17,1,0.9999,"nitrogen, use, fertilization, fuel, variety, advance, energy, factory, guarantee, implementation",Organizacinal 10.txt
18,18,1,0.9999,"nitrogen, use, fertilization, fuel, variety, advance, energy, factory, guarantee, implementation",Organizacinal 14.txt
19,19,1,0.9999,"nitrogen, use, fertilization, fuel, variety, advance, energy, factory, guarantee, implementation",Organizacinal 15.txt
20,20,1,0.9999,"nitrogen, use, fertilization, fuel, variety, advance, energy, factory, guarantee, implementation",Organizacinal 9.txt
21,21,1,0.9999,"nitrogen, use, fertilization, fuel, variety, advance, energy, factory, guarantee, implementation",Organizacinal 8.txt
22,22,2,0.9989,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",Investigacion 12.txt
23,23,2,0.9979,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",Investigacion 13.txt
24,24,2,0.9979,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",Investigacion 14.txt
25,25,2,0.998,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",tesis.pdf
26,26,2,0.9979,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",Investigacion 15.txt
27,27,2,0.9979,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",Investigacion 17.txt
28,28,2,0.9979,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",Investigacion 16.txt
29,29,2,0.9989,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",Investigacion 12.txt
30,30,2,0.9413,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",Investigacion 13.txt
31,31,2,0.9996,"colombia, sugarcane, field, cenicaña, production, university, valley, cauca, yield, mill",investigacion 14.txt
