,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,0,1.0,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",Grupo de investigacion 4.txt
1,1,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 15.txt
2,2,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 14.txt
3,3,0,1.0,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",Grupo de investigacion 5.txt
4,4,0,0.997,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",laboratorio 1.txt
5,5,0,0.997,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",laboratorio 3.txt
6,6,0,1.0,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",Grupo de investigacion 7.txt
7,7,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 16.txt
8,8,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 17.txt
9,9,0,1.0,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",Grupo de investigacion 6.txt
10,10,0,0.997,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",laboratorio 2.txt
11,11,0,1.0,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",Grupo de investigacion 2.txt
12,12,0,0.997,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",laboratorio 6.txt
13,13,1,1.0,"cid, bagasse, ethanol, wet, produced, electricity, cellulose, volume, production, lignin",segunda gene 8.pdf
14,14,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 13.txt
15,15,2,0.998,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",.DS_Store
16,16,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 12.txt
17,17,0,0.997,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",laboratorio 7.txt
18,18,0,1.0,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",Grupo de investigacion 3.txt
19,19,2,0.9999,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Articulo 1.pdf
20,20,0,0.9972,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",Articulo 3.pdf
21,21,0,1.0,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",Grupo de investigacion 1.txt
22,22,0,0.997,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",laboratorio 5.txt
23,23,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 10.txt
24,24,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 11.txt
25,25,0,0.997,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",laboratorio 4.txt
26,26,0,0.9972,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",Articulo 2.pdf
27,27,2,0.9999,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",artiuculo.pdf
28,28,2,0.9998,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Articulo 5.txt
29,29,0,0.997,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",laboratorio 10.txt
30,30,0,0.997,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",laboratorio 11.txt
31,31,2,1.0,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Bioetanol_Biomasa_Maiz_.pdf
32,32,2,0.9998,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Articulo 4.txt
33,33,2,0.9998,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Articulo 6.txt
34,34,0,0.997,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",laboratorio 13.txt
35,35,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 8.txt
36,36,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 9.txt
37,37,0,0.997,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",laboratorio 12.txt
38,38,2,0.9998,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Articulo 3.txt
39,39,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 2.txt
40,40,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 3.txt
41,41,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 1.txt
42,42,2,0.5997,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Tesis 1.pdf
43,43,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 4.txt
44,44,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 5.txt
45,45,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 7.txt
46,46,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 6.txt
47,47,0,0.997,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",laboratorio 9.txt
48,48,2,1.0,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Bioetanol_Biomasa_Maiz_Lignocelulขsica.pdf
49,49,1,1.0,"cid, bagasse, ethanol, wet, produced, electricity, cellulose, volume, production, lignin",segunda gene 7.pdf
50,50,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 20.txt
51,51,1,1.0,"cid, bagasse, ethanol, wet, produced, electricity, cellulose, volume, production, lignin",segunda gene 6.pdf
52,52,0,0.997,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",laboratorio 8.txt
53,53,2,0.5856,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",oscarjuliansancheztoro.2008_Parte2.pdf
54,54,1,1.0,"cid, bagasse, ethanol, wet, produced, electricity, cellulose, volume, production, lignin",segunda gene 4.pdf
55,55,0,1.0,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",Grupo de investigacion 11.txt
56,56,0,1.0,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",Grupo de investigacion 10.txt
57,57,1,1.0,"cid, bagasse, ethanol, wet, produced, electricity, cellulose, volume, production, lignin",segunda gene 5.pdf
58,58,2,0.5997,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",oscarjuliansancheztoro.2008_Parte1.pdf
59,59,1,1.0,"cid, bagasse, ethanol, wet, produced, electricity, cellulose, volume, production, lignin",segunda gene 1.pdf
60,60,2,1.0,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Bioetanol_.pdf
61,61,2,0.9999,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Articulo 8.pdf
62,62,0,1.0,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",Grupo de investigacion 8.txt
63,63,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 19.txt
64,64,1,1.0,"cid, bagasse, ethanol, wet, produced, electricity, cellulose, volume, production, lignin",segunda gene 2.pdf
65,65,1,1.0,"cid, bagasse, ethanol, wet, produced, electricity, cellulose, volume, production, lignin",segunda gene 3.pdf
66,66,2,0.9985,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Red 18.txt
67,67,0,1.0,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",Grupo de investigacion 9.txt
68,68,0,0.9996,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",articulo 4.pdf
69,69,0,0.9996,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",articulo 1.pdf
70,70,0,0.9996,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",articulo 3.pdf
71,71,0,0.9996,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",articulo2.pdf
